Matched KEGG	Colour
C00148	purple
C00763	purple
C18170	purple
C16435	purple
C02846	purple
C02455	purple
C05332	purple
C11004	purple
C14455	purple
C01157	blue
C00430	blue
C01165	blue
C04397	blue
C01110	blue
C05147	blue
C03440	blue
C01073	blue
C01015	blue
C00300	blue
C03065	blue
C00077	purple
C00515	purple
C00785	purple
C02126	purple
C13558	purple
C00047	purple
C00739	purple
C01142	purple
C01186	purple
C00025	blue
C12269	blue
C00979	blue
C00217	blue
C05938	blue
C00302	blue
C00181	purple
C00121	purple
C00309	purple
C02479	purple
C00312	purple
C00310	purple
C00508	purple
C06115	purple
C01488	purple
C06608	blue
C01210	purple
C00135	purple
C00768	purple
C00988	blue
C00079	purple
C07527	purple
C19565	purple
C19578	purple
C02057	purple
C18090	purple
C05672	blue
C01705	blue
C13482	purple
C00118	blue
C00111	blue
C00093	blue
C02979	blue
C03189	blue
C13197	blue
C00062	purple
C00792	purple
C02385	purple
C00327	purple
C00082	purple
C19579	purple
C04368	purple
C01536	purple
C03113	blue
C15556	purple
C20125	purple
C01005	blue
C01005	blue
C02532	blue
C12449	red
C10858	red
C01092	purple
C03793	blue
C01037	blue
C09640	purple
C18418	purple
C07875	purple
C07577	purple
C13734	blue
C16366	purple
C19496	purple
C00279	purple
C03626	blue
C00078	purple
C00525	purple
C07839	purple
C00806	purple
C14916	purple
C10968	purple
C05944	purple
C14425	purple
C09912	blue
C16361	purple
C03082	blue
C00673	purple
C11437	purple
C00672	purple
C16637	purple
C11434	purple
C15532	purple
C12058	purple
C13138	purple
C16365	purple
C00386	purple
C01107	purple
C02862	purple
C07807	blue
C04299	blue
C05512	purple
C01736	purple
C07819	purple
C08362	purple
C00249	purple
C00670	blue
C14439	purple
C06469	blue
C00212	blue
C00330	blue
C07195	blue
C07210	blue
C03343	purple
C15205	purple
C14214	purple
C07624	purple
C07175	purple
C00170	blue
C11124	purple
C00319	purple
C02934	purple
C16512	purple
C00836	purple
C19013	purple
C00051	blue
C19910	purple
C19909	purple
C11371	purple
C07498	purple
C03299	blue
C12144	purple
C07184	purple
C03410	blue
C03410	blue
C00203	blue
C15658	blue
C06686	blue
C03958	purple
C00611	purple
C06372	purple
C03690	purple
C14577	purple
C14227	purple
C15646	purple
C06812	red
C12512	purple
C07310	purple
C08005	purple
C08378	blue
C06940	blue
